text,label,uuid,label_id
what 's the earliest flight i can get between boston and dallas,flight,5013e6ce-b7f6-41b8-a04a-ac67400c9c72,0
all united airlines flights with stopovers in denver,flight,39d9e773-a748-45fd-ade1-a2e7897b55bc,0
i 'd like to see all flights from pittsburgh to philadelphia again,flight,0e6af784-33a8-4cae-b41c-0a0c988b70d4,0
show me one more time the first class fares from baltimore to dallas,airfare,3c6e64a4-bc4d-4d53-b73a-21463f437a9e,1
i 'd like to fly from tampa to montreal,flight,b8edcd72-a4af-4cef-bd0e-7a06c1ec9ce3,0
what would be cost of a round trip from pittsburgh to san francisco,airfare,92361bef-af4f-4c4a-bad9-92ee85f86844,1
what ground transportation is available from the pittsburgh airport to the town,ground_service,47b03e91-6ea3-423d-b352-39ecbd34b1a3,2
i would like to find a flight from kansas city to salt lake city on delta and arriving at about 8 o'clock in the evening could you please tell me the aircraft and the flight number thank you,flight,80a5ce0e-a3ce-460a-bcae-6a63a973178c,0
do you have an 819 flight from denver to san francisco,flight,01138758-4722-4720-a3a1-45a02e6f5fc2,0
what are the two american airlines flights that leave from dallas to san francisco in the evening,flight,0b20206d-2cfa-4d76-9598-47062e4681af,0
flights from montreal and phoenix to las vegas,flight,a131d2af-fd80-4d15-9150-35526581bb7a,0
how many us air flights leave from washington,quantity,25278386-1ae0-4c10-9f43-18e77da8d993,3
show me the first flight that arrives in toronto from cincinnati,flight,eab2c3e1-7d3a-49ed-ade9-feec4d4da56f,0
which airlines fly from boston to washington dc via other cities,airline,955b3d8a-5e5d-4d8b-9f12-42ea9076ff29,4
please show me flights from philadelphia to baltimore between 10 am and 2 pm,flight,c0cbbe87-aa33-422a-b069-b84705f609b3,0
can you list the latest flights from oakland to salt lake city on wednesday,flight,0d5900a5-e151-4cfc-97e7-e364cd0ea68e,0
what flights leaving pittsburgh arrive in denver and leave after say 6 o'clock at night,flight,48905cdd-7b66-46ce-9e15-2cc0e1648d21,0
list all american airlines flight from milwaukee to phoenix on sunday,flight,ff7784a8-9a12-4e66-a4a3-48aa9e981ced,0
i want to fly from atlanta to philadelphia,flight,4b215b41-299c-4309-9242-240a5f4eeaf7,0
what is the cheapest one way flight from atlanta to boston,flight,5aa4e576-d448-4d4a-bc9f-73acda0b431a,0
can you tell me the time a flight would leave from atlanta to boston in the afternoon,flight_time,4a19ed61-af04-4a47-8762-a68e890a9ca4,5
on november twenty third what flights are available between boston and denver on american airlines,flight,29ffefa8-c76c-479f-813f-779db5549ff7,0
what is restriction ap 57,abbreviation,2e1ea8e6-5324-4c41-bbce-7722023fd4fd,6
